,Unnamed: 0,instance_name,num_agents,planner,single_agent_planner,trail,success,success_status,n_collision,time,path_length,mean_acc,mean_jerk,mean_geo,expansions,dynamic,diffusion_step,constraint
0,0,DropRegion,7,CBS,MMDEnsemble,9,1,0,0,77.99408268928528,3.72270097051348,0.109970887856824,0.0707336419395038,0.0082966899499297,9,,,
1,1,DropRegion,7,CBS,MMDEnsemble,0,1,0,0,67.18272829055786,3.5579978738512312,0.1082389551614012,0.0688368779207978,0.0077143641454832,7,,,
2,2,DropRegion,7,CBS,MMDEnsemble,7,1,0,0,76.98448324203491,3.876743827547346,0.1059575671596186,0.063290301444275,0.0096203709420348,9,,,
3,3,DropRegion,7,CBS,MMDEnsemble,6,1,0,0,74.54582667350769,3.7972250325339183,0.1175358875521591,0.0694347518895353,0.0083519634790718,8,,,
4,4,DropRegion,7,CBS,MMDEnsemble,1,1,0,0,80.4169614315033,3.753561462674822,0.1066104008683136,0.07141349597701,0.0085238093244177,9,,,
5,5,DropRegion,7,CBS,MMDEnsemble,8,1,0,0,70.3522219657898,3.5439109121050154,0.0993894743067877,0.0691033338329621,0.0081464974874896,8,,,
6,6,DropRegion,7,CBS,MMDEnsemble,4,1,0,0,72.12714004516602,3.559863873890468,0.1018190825624125,0.0650581323674747,0.0081696239566164,8,,,
7,7,DropRegion,7,CBS,MMDEnsemble,3,1,0,0,73.17619347572327,3.508655105318342,0.1024598457983562,0.0654501350862639,0.0080015882849693,8,,,
8,8,DropRegion,7,CBS,MMDEnsemble,2,1,0,0,79.74130129814148,3.966124568666731,0.1106820021356855,0.0608590335718223,0.0086016835910933,9,,,
9,9,DropRegion,7,CBS,MMDEnsemble,5,1,0,0,95.27420163154602,3.7308716773986816,0.1091113558837345,0.0672512719673769,0.0085160084334867,11,,,
10,10,DropRegion,7,CBS,KCBSLower,9,1,0,0,1.652000904083252,2.507657085146223,0.0200733031545366,0.0265730164412941,0.0020782839440341,5,,,
11,11,DropRegion,7,CBS,KCBSLower,0,1,0,0,2.1209940910339355,2.528228521347046,0.0185072617605328,0.0253159289381333,0.0019493768257754,6,,,
12,12,DropRegion,7,CBS,KCBSLower,7,0,2,2,1.6104497909545898,2.426399946212769,0.0183715301432779,0.02536109781691,0.0022328360105997,5,,,
13,13,DropRegion,7,CBS,KCBSLower,6,1,0,0,4.057179927825928,2.8244570663997104,0.0180551545428378,0.0236658246389457,0.0018789600248315,10,,,
14,14,DropRegion,7,CBS,KCBSLower,1,1,0,0,85.65582489967346,2.568342924118042,0.0208260603249073,0.0274632985570601,0.0020943553619352,15,,,
15,15,DropRegion,7,CBS,KCBSLower,8,1,0,0,59.51529860496521,2.565257106508528,0.018538714785661,0.0248188490846327,0.0018517608155629,8,,,
16,16,DropRegion,7,CBS,KCBSLower,4,1,0,0,2.0106120109558105,2.288571391786848,0.0182597003877162,0.0250474182622773,0.0017892418795132,6,,,
17,17,DropRegion,7,CBS,KCBSLower,3,1,0,0,2.1595346927642822,2.436685630253383,0.0221729810748781,0.0302843262574502,0.0023509434124987,7,,,
18,18,DropRegion,7,CBS,KCBSLower,2,1,0,0,3.29272985458374,2.6269713810512,0.0194202652201056,0.0274239821093423,0.0021653502481058,8,,,
19,19,DropRegion,7,CBS,KCBSLower,5,1,0,0,1.6338951587677002,2.4788571085248674,0.0190580386136259,0.0259722976812294,0.0020704322294997,5,,,
20,20,DropRegion,7,CBS,WAStar,9,0,1,18,1000.077211856842,0.0,0.0,0.0,0.0,0,,,
21,21,DropRegion,7,CBS,WAStar,0,0,2,1,344.7712366580963,2.17142847606114,0.0303501172789505,0.0376612227410078,0.0046428565734199,3605,,,
22,22,DropRegion,7,CBS,WAStar,7,0,1,22,1000.0801060199738,0.0,0.0,0.0,0.0,0,,,
23,23,DropRegion,7,CBS,WAStar,6,1,0,0,243.4352161884308,2.171428527150835,0.0286358316828097,0.0370149206636207,0.0046428567230967,2661,,,
24,24,DropRegion,7,CBS,WAStar,1,1,0,0,579.6365900039673,2.142857091767447,0.0280644032838089,0.0358244440119181,0.0044047614459746,5891,,,
25,25,DropRegion,7,CBS,WAStar,8,1,0,0,207.62586998939517,2.1999999625342235,0.0291092189561043,0.0384519519284367,0.0051190473771254,2342,,,
26,26,DropRegion,7,CBS,WAStar,4,1,0,0,158.83799505233765,2.1714285101209367,0.0292072604809488,0.036768365651369,0.0045238090013819,1781,,,
27,27,DropRegion,7,CBS,WAStar,3,0,2,1,476.56831431388855,2.17142847606114,0.0297786896782261,0.0379588420369795,0.0046428566399429,5002,,,
28,28,DropRegion,7,CBS,WAStar,2,1,0,0,374.7459650039673,2.1714285101209367,0.0292072604809488,0.036768365651369,0.0045238090013819,4040,,,
29,29,DropRegion,7,CBS,WAStar,5,1,0,0,162.4914748668671,2.1714285101209367,0.0292072604809488,0.036768365651369,0.0045238090013819,1827,,,
30,30,DropRegion,7,CBS,MDOCEnsemble_single_250_r,9,1,0,0,41.75110745429993,3.2985333374568397,2.509077821459089,4.40079266684396,0.0050188514537044,26,single,250.0,r
31,31,DropRegion,7,CBS,MDOCEnsemble_single_250_r,0,1,0,0,38.05955314636231,3.4204475539071217,2.793335403714861,4.969929729189191,0.0078264438780024,24,single,250.0,r
32,32,DropRegion,7,CBS,MDOCEnsemble_single_250_r,7,1,0,0,20.73094129562378,3.2040508815220425,2.4345098563603,4.232438121523176,0.0035241812999759,11,single,250.0,r
33,33,DropRegion,7,CBS,MDOCEnsemble_single_250_r,6,1,0,0,11.917961359024048,3.082211903163365,2.4026578835078647,4.210439954485212,0.0034268618494804,6,single,250.0,r
34,34,DropRegion,7,CBS,MDOCEnsemble_single_250_r,1,1,0,0,11.797354936599731,2.969773156302316,2.341922879219055,4.088761874607632,0.0028292658140084,4,single,250.0,r
35,35,DropRegion,7,CBS,MDOCEnsemble_single_250_r,8,1,0,0,25.196678400039676,3.215063776288713,2.620191710335868,4.654238564627511,0.0041191834025084,16,single,250.0,r
36,36,DropRegion,7,CBS,MDOCEnsemble_single_250_r,4,1,0,0,12.404282093048096,3.22349636895316,2.371891294206892,4.172992263521467,0.0048046835166003,8,single,250.0,r
37,37,DropRegion,7,CBS,MDOCEnsemble_single_250_r,3,1,0,0,37.69026637077332,3.462753466197422,2.5973875863211497,4.665982689176287,0.0070549726619252,22,single,250.0,r
38,38,DropRegion,7,CBS,MDOCEnsemble_single_250_r,2,1,0,0,11.07526397705078,3.2453781877245222,2.5535169669560025,4.546590464455741,0.00633994879068,6,single,250.0,r
39,39,DropRegion,7,CBS,MDOCEnsemble_single_250_r,5,1,0,0,12.052455186843872,3.217177288872855,2.4331743717193604,4.208072355815342,0.0067157906014472,6,single,250.0,r
40,40,DropRegion,7,ECBS,WAStar,9,1,0,0,8.91357707977295,2.285714183534895,0.0273715514423591,0.0353643580206802,0.0044444441196641,48,,,
41,41,DropRegion,7,ECBS,WAStar,0,1,0,0,9.06514286994934,2.285714217594692,0.0338192994573286,0.0424434675702026,0.0055357142285044,50,,,
42,42,DropRegion,7,ECBS,WAStar,7,1,0,0,16.580273866653442,2.228571346827916,0.0290693816329751,0.0377744851367814,0.0048351646733603,87,,,
43,43,DropRegion,7,ECBS,WAStar,6,1,0,0,4.371289014816284,2.2571427481515065,0.0338193002556051,0.0422844093825135,0.0052976188515978,25,,,
44,44,DropRegion,7,ECBS,WAStar,1,1,0,0,9.605112075805664,2.257142799241202,0.032133729463177,0.0401407250070146,0.0049999999381335,57,,,
45,45,DropRegion,7,ECBS,WAStar,8,1,0,0,8.083711862564087,2.285714183534895,0.0273715514423591,0.0353643580206802,0.0044444441196641,44,,,
46,46,DropRegion,7,ECBS,WAStar,4,1,0,0,10.510106801986694,2.2285713127681186,0.0322030556521245,0.0400805643626621,0.0049999997219336,55,,,
47,47,DropRegion,7,ECBS,WAStar,3,1,0,0,8.730237007141113,2.228571380887713,0.0308928311403308,0.0403071149651493,0.0050595234414296,48,,,
48,48,DropRegion,7,ECBS,WAStar,2,1,0,0,11.310259342193604,2.228571346827916,0.0317296686449221,0.0412251619356019,0.0051785713128213,61,,,
49,49,DropRegion,7,ECBS,WAStar,5,1,0,0,6.759558916091919,2.285714183534895,0.0273715517084513,0.0358934583408491,0.0046560843142547,36,,,
50,50,DropRegion,9,CBS,MMDEnsemble,9,1,0,0,209.02814602851868,3.6727858914269342,0.1016605736480818,0.0652408281134234,0.0089032364905708,26,,,
51,51,DropRegion,9,CBS,MMDEnsemble,0,1,0,0,187.515419960022,3.725257847044203,0.1128101125359535,0.0756330556339687,0.0081513474902345,23,,,
52,52,DropRegion,9,CBS,MMDEnsemble,7,1,0,0,227.17116689682007,3.708270152409872,0.1155052996344036,0.0703582805063989,0.0083071202453639,29,,,
53,53,DropRegion,9,CBS,MMDEnsemble,6,1,0,0,160.17017793655396,3.772678852081299,0.0960908946063783,0.0632930700149801,0.0090808864268991,20,,,
54,54,DropRegion,9,CBS,MMDEnsemble,1,1,0,0,164.32556438446045,4.073167430029975,0.1320614036586549,0.0813545307351483,0.0090194563381373,20,,,
55,55,DropRegion,9,CBS,MMDEnsemble,8,1,0,0,251.65173983573916,3.777509106530084,0.1073405254218313,0.0674474667757749,0.0086289151157769,31,,,
56,56,DropRegion,9,CBS,MMDEnsemble,4,1,0,0,166.49710321426392,3.912414895163642,0.1158200262321366,0.0728302391039,0.009412632892943,19,,,
57,57,DropRegion,9,CBS,MMDEnsemble,3,1,0,0,199.42665100097656,3.8789659870995417,0.1203377983636326,0.0777939073741436,0.0092403433389133,24,,,
58,58,DropRegion,9,CBS,MMDEnsemble,2,1,0,0,112.83243370056152,3.570924308564928,0.0989759042859077,0.0639304601483874,0.0082147320111592,13,,,
59,59,DropRegion,9,CBS,MMDEnsemble,5,1,0,0,165.25652408599854,3.8337058226267495,0.1089974161651399,0.0697342256704966,0.0090380754425293,20,,,
60,60,DropRegion,9,CBS,KCBSLower,9,0,2,3,3.366847038269043,2.4376000033484564,0.0188308536178535,0.0253536682575941,0.001777446996938,10,,,
61,61,DropRegion,9,CBS,KCBSLower,0,0,2,2,33.004676818847656,2.9823999404907227,0.0187071851558155,0.0255514521979623,0.0019503711179519,18,,,
